City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Sapele,NG,299.3,scattered clouds,5.8941,5.6767,Movig Hotel & Suites
362,San Cosme Y Damian,PY,297.25,clear sky,-27.3167,-56.35,Posada Turística Aguapey
363,Jussara,BR,299.13,clear sky,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
364,Tessalit,ML,299.72,broken clouds,20.1986,1.0114,
368,Inyonga,TZ,291.76,broken clouds,-6.7167,32.0667,Eden Rock Lodge
370,Pontes E Lacerda,BR,295.87,few clouds,-15.2261,-59.3353,Hotel Bressan
371,Inhambane,MZ,297.0,light rain,-23.865,35.3833,Oceano
374,Warri,NG,299.06,scattered clouds,5.5167,5.75,BON Hotel Delta
375,Matadi,CD,298.18,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
377,Monrovia,LR,299.52,overcast clouds,6.3005,-10.7969,Sunset Inn
378,Birao,CF,297.53,few clouds,10.2849,22.7882,
381,Inirida,CO,296.51,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
384,Bom Jesus,BR,296.45,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
393,San Vicente De Canete,PE,294.85,scattered clouds,-13.0751,-76.3835,Hotel Konford
394,Lethem,GY,298.96,overcast clouds,3.3803,-59.7968,Savannah Inn
395,Port Macquarie,AU,295.09,light rain,-31.4333,152.9167,Rydges Port Macquarie
396,Palatka,US,294.13,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
397,Hirara,JP,293.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
398,Sydney,AU,297.43,broken clouds,-33.8679,151.2073,The Grace Sydney
399,Mozarlandia,BR,296.4,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
400,Vila Velha,BR,299.23,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
402,Ixtapa,MX,296.72,clear sky,20.7,-105.2,hotel la terminal
405,San Patricio,US,297.14,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
406,Gao,ML,298.73,clear sky,16.6362,1.637,
407,Airai,TL,293.91,overcast clouds,-8.9266,125.4092,
408,Washington,US,293.37,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
414,Fuerte Olimpo,PY,296.67,clear sky,-21.0415,-57.8738,Hospedaje DAMI
415,Alice Springs,AU,298.9,clear sky,-23.7,133.8833,Desert Palms Alice Springs
419,Talakag,PH,296.68,broken clouds,8.2336,124.6003,Limunsod
421,Geraldton,AU,297.38,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
427,Baker City,US,290.99,clear sky,44.7749,-117.8344,Bridge Street Inn
429,Basco,PH,299.14,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
431,Bonthe,SL,299.72,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
435,Carutapera,BR,297.97,moderate rain,-1.195,-46.02,Lidera
437,Puerto Del Rosario,ES,291.01,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
442,Camargo,MX,298.9,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
