City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
120,Camalu,MX,30.85,-116.0667,289.58,68,100,overcast clouds
121,Domingos Martins,BR,-20.3633,-40.6592,295.71,89,11,few clouds
122,Busayra,JO,30.7376,35.6078,279.13,62,0,clear sky
123,Tulua,CO,4.0847,-76.1954,293.33,94,100,overcast clouds
124,Quatre Cocos,MU,-20.2078,57.7625,297.64,73,5,clear sky
125,Parrita,CR,9.5201,-84.3225,299.72,79,98,overcast clouds
126,Marawi,PH,7.9986,124.2928,297.91,75,62,broken clouds
127,Nishihara,JP,26.1842,127.7558,290.75,77,75,broken clouds
128,Gondanglegi,ID,-7.7479,112.0132,300.01,81,100,overcast clouds
129,Puerto Quijarro,BO,-17.7833,-57.7667,296.36,79,16,few clouds
130,Avera,US,33.194,-82.5271,289.18,45,7,clear sky
131,Huarmey,PE,-10.0681,-78.1522,295.61,78,100,overcast clouds
132,Camacha,PT,33.0833,-16.3333,286.83,82,20,few clouds
133,Barrow,US,71.2906,-156.7887,257.16,72,40,scattered clouds
134,Namibe,AO,-15.1961,12.1522,295.28,68,98,overcast clouds
135,Hailar,CN,49.2,119.7,267.3,54,7,clear sky
136,Berdigestyakh,RU,62.0989,126.6992,265.94,90,100,overcast clouds
137,Englehart,CA,47.8169,-79.8664,260.46,66,100,overcast clouds
138,Cap Malheureux,MU,-19.9842,57.6142,297.85,84,1,clear sky
139,Karpogory,RU,64.0019,44.4451,258.94,94,65,broken clouds
140,Lata,PT,40.1629,-8.3327,286.52,60,100,overcast clouds
141,Lompoc,US,34.6391,-120.4579,290.11,73,100,overcast clouds
142,Road Town,VG,18.4167,-64.6167,299.17,73,40,scattered clouds
143,Batemans Bay,AU,-35.7167,150.1833,293.2,77,99,light rain
144,Bredasdorp,ZA,-34.5322,20.0403,291.44,69,100,overcast clouds
145,Grindavik,IS,63.8424,-22.4338,279.41,93,100,overcast clouds
146,Luanda,AO,-8.8368,13.2343,299.15,89,75,broken clouds
147,Sitka,US,57.0531,-135.33,280.09,70,20,few clouds
148,Mabaruma,GY,8.2,-59.7833,296.08,88,100,overcast clouds
149,Sao Filipe,CV,14.8961,-24.4956,294.49,73,100,overcast clouds
150,Preobrazheniye,RU,42.9019,133.9064,277.5,48,2,clear sky
151,Arraial Do Cabo,BR,-22.9661,-42.0278,298.05,91,95,overcast clouds
152,Kodiak,US,57.79,-152.4072,273.88,100,100,snow
153,Morondava,MG,-20.2833,44.2833,298.13,90,100,overcast clouds
154,Banda Aceh,ID,5.5577,95.3222,300.45,77,100,overcast clouds
155,Kaitangata,NZ,-46.2817,169.8464,292.6,62,1,clear sky
156,Fukue,JP,32.6881,128.8419,286.35,67,75,broken clouds
157,Mantua,IT,45.1667,10.7833,282.73,78,2,clear sky
158,Gizo,SB,-8.103,156.8419,301.74,74,100,light rain
159,Port Blair,IN,11.6667,92.75,299.17,89,40,mist
160,Arkhara,RU,49.4212,130.0842,270.24,86,25,scattered clouds
161,Komsomolskiy,UZ,40.4272,71.7189,278.55,75,4,clear sky
162,Rawson,AR,-43.3002,-65.1023,291.22,31,0,clear sky
163,Port Lincoln,AU,-34.7333,135.8667,294.14,69,2,clear sky
164,Dikson,RU,73.5069,80.5464,245.36,100,92,overcast clouds
165,Hofn,IS,64.2539,-15.2082,273.25,78,100,overcast clouds
166,Merke,KZ,42.8728,73.1786,276.4,77,3,clear sky
167,Whitehorse,CA,60.7161,-135.0538,275.98,45,20,few clouds
168,Atuona,PF,-9.8,-139.0333,299.32,78,91,overcast clouds
169,Galle,LK,6.0367,80.217,298.31,87,5,clear sky
170,Yellowknife,CA,62.456,-114.3525,266.16,57,40,scattered clouds
171,Ostrovnoy,RU,68.0531,39.5131,266.41,74,100,light snow
172,Eenhana,NA,-17.4667,16.3333,291.59,47,20,few clouds
173,Biak,ID,-0.9131,122.8766,299.83,74,100,overcast clouds
174,Boffa,GN,10.1667,-14.0333,297.32,74,88,overcast clouds
175,Tezu,IN,27.9167,96.1667,296.75,46,5,clear sky
176,Almaznyy,RU,48.0448,40.045,270.43,67,77,broken clouds
177,Havelock,US,34.8791,-76.9013,288.14,43,0,clear sky
178,Prata,BR,-19.3072,-48.9242,295.78,80,100,overcast clouds
179,Itarema,BR,-2.9248,-39.9167,298.36,90,93,overcast clouds
180,Evensk,RU,61.95,159.2333,263.67,76,100,overcast clouds
181,Minggang,CN,32.4586,114.0486,285.08,76,0,clear sky
182,Oranjemund,NA,-28.55,16.4333,290.29,66,0,clear sky
183,Qaanaaq,GL,77.484,-69.3632,261.11,95,100,overcast clouds
184,Vestmannaeyjar,IS,63.4427,-20.2734,278.7,87,100,overcast clouds
185,Aykhal,RU,66.0,111.5,258.88,96,99,overcast clouds
186,Baruun-Urt,MN,46.6806,113.2792,275.64,25,98,overcast clouds
187,Bodden Town,KY,19.2833,-81.25,299.15,67,75,broken clouds
188,Hermanus,ZA,-34.4187,19.2345,289.71,64,100,overcast clouds
189,Esmeraldas,BR,-19.7625,-44.3139,299.63,75,53,broken clouds
190,Saint-Philippe,RE,-21.3585,55.7679,298.92,84,47,scattered clouds
191,Porto Seguro,BR,-16.4497,-39.0647,300.44,78,20,few clouds
192,Idenao,CM,4.2475,9.0047,299.22,91,99,overcast clouds
193,Dingle,PH,10.9995,122.6711,302.31,68,27,scattered clouds
194,Padang,ID,-0.9492,100.3543,293.18,56,77,broken clouds
195,Fare,PF,-16.7,-151.0167,301.16,71,16,light rain
196,Constantine,DZ,36.365,6.6147,281.82,93,40,scattered clouds
197,Mount Isa,AU,-20.7333,139.5,304.02,20,6,clear sky
198,Kahului,US,20.8947,-156.47,302.16,54,40,scattered clouds
199,Luderitz,NA,-26.6481,15.1594,290.44,72,0,clear sky
200,Imbituba,BR,-28.24,-48.6703,293.38,87,17,few clouds
201,Ancud,CL,-41.8697,-73.8203,285.5,82,61,broken clouds
202,Kristinehamn,SE,59.3098,14.1081,281.46,66,100,overcast clouds
203,Barentu,ER,15.1139,37.5928,293.33,57,0,clear sky
204,Ponta Do Sol,PT,32.6667,-17.1,290.4,78,100,overcast clouds
205,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,295.6,91,94,light rain
206,Ambanja,MG,-13.6833,48.45,296.62,93,100,light rain
207,Kokopo,PG,-4.352,152.2633,302.59,67,73,broken clouds
208,Pangody,RU,65.85,74.4859,262.19,93,99,overcast clouds
209,Yumen,CN,40.2833,97.2,279.34,31,100,overcast clouds
210,Tahe,CN,52.3333,124.7333,273.64,54,5,clear sky
211,Pemangkat,ID,1.1667,108.9667,299.57,80,38,scattered clouds
212,Hashtrud,IR,37.4779,47.0508,272.91,76,4,clear sky
213,Clyde River,CA,70.4692,-68.5914,251.28,77,40,scattered clouds
214,Buriti Bravo,BR,-5.8372,-43.8336,295.68,95,100,light rain
215,Upernavik,GL,72.7868,-56.1549,263.13,76,95,overcast clouds
216,Puerto Colombia,CO,10.9878,-74.9547,300.2,87,99,overcast clouds
217,Constitucion,CL,-35.3333,-72.4167,286.07,82,100,overcast clouds
218,North Bend,US,43.4065,-124.2243,287.68,91,40,scattered clouds
219,Kurchum,KZ,48.5722,83.6542,271.46,88,92,overcast clouds
220,Douglasville,US,33.7515,-84.7477,287.73,34,11,few clouds
221,Portland,US,45.5234,-122.6762,294.17,60,100,overcast clouds
222,Gigmoto,PH,13.7796,124.39,301.34,77,100,overcast clouds
223,Muros,ES,42.7762,-9.0603,285.98,84,100,overcast clouds
224,Yamethin,MM,20.4333,96.15,300.79,49,27,scattered clouds
225,Fairbanks,US,64.8378,-147.7164,278.13,55,0,clear sky
226,Meaux,FR,48.9167,3.0,284.06,74,0,clear sky
227,Saldanha,ZA,-33.0117,17.9442,289.91,76,13,few clouds
228,Lamar,US,33.6668,-95.5836,297.1,43,0,clear sky
229,Dinar,TR,38.065,30.1656,272.13,60,0,clear sky
230,Velikooktyabrskiy,RU,57.4333,33.8159,266.09,84,100,overcast clouds
231,Boves,IT,44.332,7.5514,283.72,36,71,broken clouds
232,Nantucket,US,41.2835,-70.0995,280.23,63,100,overcast clouds
233,De Aar,ZA,-30.6497,24.0123,293.18,37,45,scattered clouds
234,Cidreira,BR,-30.1811,-50.2056,293.79,79,0,clear sky
235,Burnie,AU,-41.0667,145.9167,293.67,82,87,overcast clouds
